feature,pearson_corr,spearman_corr,name_suspect,high_corr_flag,audit_flag
speed_excess_median,0.743204512252306,0.8731549106878999,True,True,True
speed_excess_85,0.732241010436862,0.8852642698891094,True,True,True
MedianSpeed,0.5285599912679925,0.6380386549541649,True,True,True
F85thPercentileSpeed,0.5239813690161116,0.6464252449674196,True,True,True
Percentile,0.18350766590349418,0.3034616692913039,True,False,True
NumberOverLimit,0.17068710333567141,0.8363140438968383,True,False,True
RankedPercentile,0.06744355014384211,0.0875240511970504,True,False,True
Shape_Length,0.12252082748672524,0.18253046577808385,False,False,False
WeightedSample,0.03635595012499439,0.21962546896115828,False,False,False
SampleSize_avg,0.02865699642222494,0.0871400880500529,False,False,False
SpeedLimit,-0.2627001313914908,-0.09785626374059378,False,False,False
